model,production year,motor capacity,power,fuel,km driven,color,state,gearbox,driver hand,price
Clasa C,2005,2190,143,Diesel,239800,Negru,used,manual,left-side drive,2350
Tucson,2005,1991,112,Diesel,199000,Verde,used,manual,left-side drive,4300
Astra,2009,1400,90,Benzina,140313,Gri,used,manual,left-side drive,3300
X1,2013,1998,147,Diesel,218000,Negru,used,manual,left-side drive,9500
Golf Plus,2008,1998,140,Diesel,224500,Negru,used,auto,left-side drive,4800
206-plus,2011,1390,75,Diesel,235000,Gri,used,manual,left-side drive,2800
Passat,2014,1963,140,Diesel,290000,Negru,used,auto,left-side drive,6900
Forester,2003,1995,175,Benzina,200000,Gri,used,auto,left-side drive,3950
Clasa CLA,2013,2200,170,Diesel,215000,Gri,used,auto,left-side drive,13500
A5,2013,1968,170,Benzina,209610,Gri,used,manual,left-side drive,13328
A6,2007,1950,136,Diesel,244000,Albastru,used,manual,left-side drive,5499
Logan,2013,1200,-,GPL,220000,Alb,used,manual,left-side drive,4500
Seria 6,2012,2996,313,Diesel,261000,Albastru,used,auto,left-side drive,22000
Land Cruiser,2006,3000,166,Diesel,265200,Gri,used,manual,left-side drive,11100
Clasa GLC,2016,2143,170,Diesel,104000,Alb,used,auto,left-side drive,27499
CX-5,2017,2191,175,Diesel,218,Alb,used,auto,left-side drive,13300
Seria 5,2012,2000,184,Diesel,238000,Gri,used,auto,left-side drive,13500
Wrangler,2008,2800,177,Diesel,118000,Albastru,used,manual,left-side drive,21500
Koleos,2012,1995,150,Diesel,196000,Negru,used,manual,left-side drive,7000
Focus,2017,999,100,Benzina,22300,Albastru,used,manual,left-side drive,6800
Logan,2018,1000,75,GPL,74000,Alb,used,manual,left-side drive,6300
308,2008,1560,88,Diesel,196000,Negru,used,manual,left-side drive,3500
Octavia,2018,1600,115,Diesel,182000,Gri,used,manual,left-side drive,12700
Kuga,2019,1495,150,Benzina,60000,Gri,used,auto,left-side drive,20000
Clasa S,2018,2925,340,Diesel,84140,Negru,used,auto,left-side drive,51500
Octavia,2018,1596,116,Diesel,146800,Galben / Auriu,used,auto,left-side drive,15300
Sportage,2013,1995,183,Diesel,75000,Maro / Bej,used,manual,left-side drive,13450
Meriva,2012,1300,105,Diesel,200000,Albastru,used,manual,left-side drive,4300
Mondeo,2014,1997,-,-,128000,Albastru,used,manual,left-side drive,9350
C3,2013,2198,140,Diesel,204000,Alb,used,manual,left-side drive,6300
Logan Stepway,2020,1000,100,Benzina,106598,Gri,used,manual,left-side drive,9300
