name,price,location_date,km,state,url
Mercedes C220 CDI 143cp euro 3 fara filtru de particule,2 350 €Prețul e negociabil,Bucuresti -  Sectorul 4 - Reactualizat la 28 aprilie 2023,2005 - 239 800 km,Utilizat,https://www.olx.ro/d/oferta/mercedes-c220-cdi-143cp-euro-3-fara-filtru-de-particule-IDh47tS.html
Mercedes-Benz GLC,31 500 €Prețul e negociabil,Bucuresti -  Sectorul 1 - 14 aprilie 2023,2017 - 70 477 km,Utilizat,https://www.autovit.ro/anunt/mercedes-benz-glc-250-d-4matic-ID7Ha4xM.html
Hyundai Tucson CRDI,4 300 €,Bucuresti -  Sectorul 5 - Reactualizat la 30 aprilie 2023,2005 - 199 000 km,Utilizat,https://www.olx.ro/d/oferta/hyundai-tucson-crdi-IDh9a7a.html
Toyota Yaris -  2013 -  de vanzare,5 500 €Prețul e negociabil,Bucuresti -  Sectorul 2 - Azi la 09:08,2013 - 126 530 km,Utilizat,https://www.olx.ro/d/oferta/toyota-yaris-2013-de-vanzare-IDhaSPo.html
Opel astra h 1.4 benzină brek,3 300 €Prețul e negociabil,Bucuresti -  Sectorul 2 - Azi la 09:08,2009 - 140 313 km,Utilizat,https://www.olx.ro/d/oferta/opel-astra-h-1-4-benzina-brek-IDhaSP7.html
Skoda RAPID Prim prop Navi senzori incalzire scaune Cump Ro nou leasing TVA deduc,8 806 €,Bucuresti -  Sectorul 2 - Azi la 09:06,2019 - 130 000 km,Utilizat,https://www.autovit.ro/anunt/skoda-rapid-1-0-tsi-ambition-ID7H3hNd.html
Audi A6 Credit Auto! Rate fixe! KM CERTIFICATI!,17 490 €Prețul e negociabil,Bucuresti -  Sectorul 1 - Azi la 09:06,2015 - 269 971 km,Utilizat,https://www.autovit.ro/anunt/audi-a6-avant-2-0-tdi-ultra-s-tronic-ID7H8LZR.html
Lamborghini URUS Credit extern la prețul net! Leasing ! Garantie! Auto la comandă!,318 980.21 €,Bucuresti -  Sectorul 1 - Azi la 09:06,2022 - 10 829 km,Utilizat,https://www.autovit.ro/anunt/lamborghini-urus-ID7H7Akx.html
Renault Clio,8 299 €,Bucuresti -  Sectorul 4 - Azi la 09:06,2016 - 50 851 km,Utilizat,https://www.autovit.ro/anunt/renault-clio-iv-1-2-16v-ID7H4HUt.html
Audi Q3,49 199.36 €,Bucuresti -  Sectorul 1 - Azi la 09:06,2021 - 23 800 km,Utilizat,https://www.autovit.ro/anunt/audi-q3-2-0-40-tdi-quattro-s-tronic-s-line-ID7Ha769.html
Volkswagen Tiguan,23 950 €,Bucuresti -  Sectorul 1 - Azi la 09:06,2018 - 54 702 km,Utilizat,https://www.autovit.ro/anunt/volkswagen-tiguan-1-4-tsi-dsg-4mot-ID7H5oi7.html
Ferrari California Ferrari California,99 900.50 €,Bucuresti -  Sectorul 1 - Azi la 09:06,2011 - 47 000 km,Utilizat,https://www.autovit.ro/anunt/ferrari-california-ID7H06oH.html
Mercedes-Benz GLE Finantare Leasing Mercedes-Benz GLE 400 d 4M AMG / Avans de la 15%,96 999.28 €,Bucuresti -  Sectorul 6 - Azi la 09:06,2021 - 19 980 km,Utilizat,https://www.autovit.ro/anunt/mercedes-benz-gle-400-d-4matic-9g-tronic-amg-line-ID7HaQ2s.html
BMW X1 -  an fabricație 2013,9 500 €,Bucuresti -  Sectorul 1 - Reactualizat la 30 aprilie 2023,2013 - 218 000 km,Utilizat,https://www.olx.ro/d/oferta/bmw-x1-an-fabricatie-2013-IDh5XIY.html
Ford Tourneo Courier Tva deductibil 19% / Posibilitate Leasing Credit auto / 1 - 5 Diesel,10 490 €Prețul e negociabil,Bucuresti -  Sectorul 6 - 29 aprilie 2023,2019 - 65 900 km,Utilizat,https://www.autovit.ro/anunt/ford-tourneo-courier-1-5-tdci-ID7H803e.html
Vw Golf PLUS 2.0 TDI DSG Full Ireprosabil Navi Edition Goal,4 800 €,Bucuresti -  Sectorul 3 - Reactualizat la 01 mai 2023,2008 - 224 500 km,Utilizat,https://www.olx.ro/d/oferta/vw-golf-plus-2-0-tdi-dsg-full-ireprosabil-navi-edition-goal-IDgNIuS.html
Volkswagen Golf,9 990 €,Bucuresti -  Sectorul 1 - Azi la 09:05,2017 - 145 269 km,Utilizat,https://www.autovit.ro/anunt/volkswagen-golf-1-0-tsi-trendline-ID7H84bd.html
Volkswagen Tiguan,22 500 €,Bucuresti -  Sectorul 1 - Azi la 09:05,2018 - 140 071 km,Utilizat,https://www.autovit.ro/anunt/volkswagen-tiguan-ID7H7F24.html
Mercedes-Benz GLE mercedes-benz gle 350 e 4matic coupe,116 252.29 €,Bucuresti -  Sectorul 4 - Azi la 09:05,2022 - 1 km,Utilizat,https://www.autovit.ro/anunt/mercedes-benz-gle-ID7H7F1j.html
Dacia Logan,9 990 €,Bucuresti -  Sectorul 1 - Azi la 09:05,2015 - 97 752 km,Utilizat,https://www.autovit.ro/anunt/dacia-logan-ID7H7F19.html
Mercedes-Benz GLC Garantie 12luni/20000km posibilitate leasing cu dobanda de 3.99% / an,32 963 €,Bucuresti -  Sectorul 1 - Azi la 09:05,2019 - 116 000 km,Utilizat,https://www.autovit.ro/anunt/mercedes-benz-glc-220-d-4matic-ID7H6WJF.html
Jaguar I-Pace,59 500 €,Bucuresti -  Sectorul 1 - Azi la 09:05,2020 - 30 751 km,Utilizat,https://www.autovit.ro/anunt/jaguar-i-pace-ID7H6Qj0.html
Vand Peugeot206 plus,2 800 €,Bucuresti -  Sectorul 6 - Azi la 09:04,2011 - 235 000 km,Utilizat,https://www.olx.ro/d/oferta/vand-peugeot206-plus-IDh4zuP.html
BMW X3 BMW X3 3.0d xdrive 2020,37 900 €,Bucuresti -  Sectorul 1 - Reactualizat Azi la 09:04,2020 - 83 000 km,Utilizat,https://www.autovit.ro/anunt/bmw-x3-xdrive30d-at-luxury-line-ID7Hb8Bk.html
Volkswagen Passat An 2014 Automat 2.0 DSG EURO 5 DISTRONIC-PLUS,6 900 €Prețul e negociabil,Bucuresti -  Sectorul 1 - Reactualizat Azi la 09:04,2014 - 290 000 km,Utilizat,https://www.olx.ro/d/oferta/volkswagen-passat-an-2014-automat-2-0-dsg-euro-5-distronic-plus-IDh6KHO.html
Dacia Logan DACIA LOGAN 1.5 DCI- 7000 euro+tva - Credit/ Leasing firma noua,8 330 €,Bucuresti -  Sectorul 3 - Azi la 09:04,2019 - 118 654 km,Utilizat,https://www.autovit.ro/anunt/dacia-logan-1-5-blue-dci-sl-plus-ID7HabKV.html
BMW Seria 5 BMW 530d xDrive sportline/ stoc Bucuresti,35 700 €Prețul e negociabil,Bucuresti -  Sectorul 1 - 01 mai 2023,2017 - 95 000 km,Utilizat,https://www.autovit.ro/anunt/bmw-seria-5-530d-xdrive-at-ID7H75E7.html
Subaru Forester 2.0 XT AWD automata,3 950 €Prețul e negociabil,Bucuresti -  Sectorul 1 - Reactualizat la 30 aprilie 2023,2003 - 200 000 km,Utilizat,https://www.olx.ro/d/oferta/subaru-forester-2-0-xt-awd-automata-IDh8qdP.html
URGENT !!!Mercedes CLA 220D AMG PACK!,13 500 €,Bucuresti -  Sectorul 4 - 01 mai 2023,2013 - 215 000 km,Utilizat,https://www.olx.ro/d/oferta/urgent-mercedes-cla-220d-amg-pack-IDhaLE4.html
Audi A5 Coupe 1.8 TFSI,13 328 €,Bucuresti -  Sectorul 3 - Reactualizat Azi la 09:03,2013 - 209 610 km,Utilizat,https://www.olx.ro/d/oferta/audi-a5-coupe-1-8-tfsi-IDh519q.html
Citroën C3 Picasso,4 900 €Prețul e negociabil,Bucuresti -  Sectorul 4 - Azi la 09:03,2010 - 240 000 km,Utilizat,https://www.autovit.ro/anunt/citron-c3-picasso-1-6-hdi-fab-ID7H7D8B.html
Hyundai i40,15 250 €Prețul e negociabil,Bucuresti -  Sectorul 1 - Azi la 09:02,2018 - 101 056 km,Utilizat,https://www.autovit.ro/anunt/hyundai-i40-ID7HaXHG.html
BMW Seria 3 Bmw Seria 3 320d Xdrive,38 520.30 €,Bucuresti -  Sectorul 1 - Azi la 09:01,2019 - 34 336 km,Utilizat,https://www.autovit.ro/anunt/bmw-seria-3-ID7HaPzw.html
Ford Kuga Vand Ford Kuga 240cp -  an 2019,26 000 €Prețul e negociabil,Bucuresti -  Sectorul 1 - Azi la 09:01,2019 - 33 000 km,Utilizat,https://www.autovit.ro/anunt/ford-kuga-2-0-ecoboost-4wd-aut-ID7GYXBX.html
Audi A6 -  C6 -  an 2007 -  BiXenon -  2.0TDI -  Piele -  Pilot,5 499 €Prețul e negociabil,Bucuresti -  Sectorul 6 - Reactualizat Azi la 09:00,2007 - 244 000 km,Utilizat,https://www.olx.ro/d/oferta/audi-a6-c6-an-2007-bixenon-2-0tdi-piele-pilot-IDh7fE0.html
Volvo XC 60 Volvo XC-60 T8 Inscription 1969cc 405 C.P 2022 (Polestar Engineered),52 900 €Prețul e negociabil,Bucuresti -  Sectorul 1 - Azi la 08:59,2021 - 22 000 km,Utilizat,https://www.autovit.ro/anunt/volvo-xc-60-recharge-t8-twin-engine-eawd-polestar-engineered-ID7HaPrG.html
Mercedes-Benz C Mercedes-Benz C 250d 4matic AMG TVA deductibil,19 900 €,Bucuresti -  Sectorul 1 - Azi la 08:58,2015 - 185 000 km,Utilizat,https://www.autovit.ro/anunt/mercedes-benz-c-250-cdi-blueefficiency-t-modell-4m-aut-ID7HaK0h.html
Dacia logan 1.2 gaz,4 500 €,Bucuresti -  Sectorul 4 - Reactualizat Azi la 08:57,2013 - 220 000 km,Utilizat,https://www.olx.ro/d/oferta/dacia-logan-1-2-gaz-IDhaC54.html
BMW X3 Head Up Display,13 990 €Prețul e negociabil,Bucuresti -  Sectorul 5 - Azi la 08:56,2012 - 215 050 km,Utilizat,https://www.autovit.ro/anunt/bmw-x3-xdrive20d-aut-ID7Hadyy.html
640 XD 313 Cp Cabrio/Pachet M/SoftClose/HeadUp/Ventilatie/Cam 360,22 000 €,Bucuresti -  Sectorul 4 - Reactualizat la 30 aprilie 2023,2012 - 261 000 km,Utilizat,https://www.olx.ro/d/oferta/640-xd-313-cp-cabrio-pachet-m-softclose-headup-ventilatie-cam-360-IDh8nJm.html
Audi SQ8 Audi SQ8 40 TDI Quattro Tiptronic - Posibilitate Leasing,96 866 €,Bucuresti -  Sectorul 3 - 26 aprilie 2023,2019 - 77 128 km,Utilizat,https://www.autovit.ro/anunt/audi-sq8-4-0-tdi-tiptronic-ID7HaYQT.html
Toyota Land Cruiser 3.0 D-4D,11 100 €Prețul e negociabil,Bucuresti -  Sectorul 3 - Reactualizat la 01 mai 2023,2006 - 265 200 km,Utilizat,https://www.olx.ro/d/oferta/toyota-land-cruiser-3-0-d-4d-IDgte6T.html
